,Car_Name,Car_details,Endine_disp,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,cargo_volume,height,width,length,Gross_Weight,top_speed,Ownership,Year_of_Manufacture,Steering_Type,Car_price
104,2017 Maruti Vitara Brezza LDi,"76,473 kms • Diesel • Manual",1248 ,24.3,5,Orange,88.5,Ventilated Disc,Drum,328-litres,1640,1790,3995,1680,172 kmph,First Owner,2017,Power,₹ 7.78 Lakh
105,2014 Toyota Fortuner 4x2 AT,"95,000 kms • Diesel • Automatic",2982 ,12.55,7,White,168.5,Ventilated Disc,Drum,296-litres,1850,1840,4705,2510,176 Kmph,First Owner,2014,Power,₹ 14.20 Lakh
106,2015 Maruti Ritz VXi,"40,543 kms • Petrol • Manual",1197 ,18.5,5,White,85.80,Ventilated Disc,Drum,236-liters,1620,1680,3775,1430,156 Kmph,First Owner,2015,Power,₹ 4.91 Lakh
107,2014 Maruti Ciaz ZXi,"54,745 kms • Petrol • Manual",1373 ,20.73,5,Silver,91.1,Ventilated Disc,Drum,510-litres,,,,,190 kmph,Second Owner,2014,Power,₹ 6.12 Lakh
108,2016 Maruti Ciaz AT VXi Plus,"63,429 kms • Petrol • Automatic",1373 ,19.12,5,Grey,91.1,Ventilated Disc,Drum,510-litres,1485,1730,4490,1490,190 kmph,Second Owner,2016,Power,₹ 5.75 Lakh
109,2012 Toyota Etios Liva G,"46,249 kms • Petrol • Manual",1197 ,18.3,5,Silver,-,-,-,-,-,-,-,-,-,Second Owner,2012,Power,₹ 4.52 Lakh
110,2017 Maruti Celerio ZXI AT Optional,"55,178 kms • Petrol • Automatic",998 ,23.1,5,Grey,67.04,Ventilated Disc,Drum,235-litres,1565,1635,3715,1250,150 Kmph,First Owner,2017,Power,₹ 5.39 Lakh
111,2016 Renault Duster 110PS Diesel RxZ,"59,775 kms • Diesel • Manual",1461 ,19.6,5,Red,108.45,Disc,Drum,475-litres,1695,1822,4315,1806,168 Kmph,Second Owner,2016,Power,₹ 8.82 Lakh
112,2021 Toyota Glanza V,"38,111 kms • Petrol • Manual",1197 ,21.01,5,White,81.80,Disc,Drum,339,1510,1745,3995,1340,-,First Owner,2021,Electric,₹ 8.63 Lakh
113,2020 Maruti Vitara Brezza VXI,"39,692 kms • Petrol • Manual",1462 ,17.03,5,Silver,103.26,Ventilated Disc,Drum,328,1640,1790,3995,1600,-,Second Owner,2020,Electronic,₹ 9.03 Lakh
