,Car_Name,Fuel_type,Running_in_kms,Endine_disp,Gear_transmission,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,cargo_volume,height,width,length,Weight,Insp_score,top_speed,City_url,Car_price
8336,2016 Mahindra Scorpio,Diesel,"83,233 kms",2179,Manual,15.4 kmpl,7,White,120,Disc,Drum,-,1995,1820,4456,2510,-,150 Kmph,https://www.cardekho.com/used-cars+in+mumbai,9.91 Lakh
8337,2015 Honda Amaze,Petrol,"20,000 kms",1198,Automatic,18.0 kmpl,5,White,86.7,Disc,Drum,-,1505,1680,3990,-,-,160 Kmph,https://www.cardekho.com/used-cars+in+mumbai,4.95 Lakh
8338,2013 Hyundai i20,Diesel,"78,000 kms",1396,Automatic,21.9 kmpl,5,Blue,88.76,Disc,Drum,-,1505,1710,3995,-,-,-,https://www.cardekho.com/used-cars+in+mumbai,3.89 Lakh
8339,2009 Hyundai Santro Xing,Petrol,"49,000 kms",1086,Manual,17.92 kmpl,5,Golden,62.1,Ventilated Disc,Drum,-,1590,1525,3565,-,-,-,https://www.cardekho.com/used-cars+in+mumbai,1.75 Lakh
8340,2017 Ford Ecosport,Petrol,"8,221 kms",999,Manual,18.88 kmpl,5,Silver,123.24,Ventilated Disc,Drum,-,1708,1765,3999,-,-,180 Kmph,https://www.cardekho.com/used-cars+in+mumbai,6.75 Lakh
8341,2018 Mercedes-Benz New C-Class,Diesel,"6,500 kms",2143,Manual,19.27 kmpl,5,White,167.62,Disc,Disc,-,1442,2020,4686,2135,-,233 Kmph,https://www.cardekho.com/used-cars+in+mumbai,38 Lakh
8342,2019 Hyundai i20,Diesel,"55,836 kms",1396,Manual,22.54 kmpl,5,White,88.76,Disc,Drum,-,1505,1734,3985,-,-,180 Kmph,https://www.cardekho.com/used-cars+in+mumbai,8.35 Lakh
8343,2016 Maruti Baleno,Petrol,"22,000 kms",1197,Manual,21.4 kmpl,5,White,83.1,Disc,Drum,-,1510,1745,3995,1340,-,180 Kmph,https://www.cardekho.com/used-cars+in+mumbai,5.95 Lakh
8344,2012 Renault Duster,Diesel,"82,000 kms",1461,Automatic,19.87 kmpl,5,White,83.8,Ventilated Disc,Drum,-,1695,1822,4315,1766,-,156 Kmph,https://www.cardekho.com/used-cars+in+mumbai,4.35 Lakh
8345,2009 Honda City,Petrol,"19,000 kms",1497,Automatic,16.8 kmpl,5,Golden,116.3,Disc,Drum,-,1485,1695,4440,-,-,,https://www.cardekho.com/used-cars+in+mumbai,3.45 Lakh
8346,2016 Volkswagen Polo,Petrol,"39,000 kms",1197,Manual,17.21 kmpl,5,Red,103.5,Disc,Drum,-,1469,1682,3971,1580,-,177.22 kmph,https://www.cardekho.com/used-cars+in+mumbai,6.85 Lakh
8347,2014 Maruti Swift Dzire,Diesel,"37,000 kms",1248,Automatic,19.3 kmpl,5,White,73.9,Ventilated Disc,Drum,-,1530,1690,4160,-,-,-,https://www.cardekho.com/used-cars+in+mumbai,5.25 Lakh
8348,2019 Renault KWID,Petrol,"3,900 kms",999,Automatic,24.04 kmpl,5,Firoze Green,67,Disc,Drum,-,1474,1579,3731,-,-,-,https://www.cardekho.com/used-cars+in+mumbai,4.99 Lakh
8349,2013 Toyota Etios,Petrol,"22,000 kms",1496,Manual,16.78 kmpl,5,White,88.73,Ventilated Disc,Drum,-,1510,1695,4265,-,-,180 Kmph,https://www.cardekho.com/used-cars+in+mumbai,3.4 Lakh
8350,2014 Audi Q7,Diesel,"1,07,000 kms",2967,Manual,12.07 kmpl,7,Blue,241.4,Ventilated Disc,Ventilated Disc,-,1737,2177,5089,2995,-,215 Kmph,https://www.cardekho.com/used-cars+in+mumbai,22.5 Lakh
8351,2013 Mini Cooper Countryman,Diesel,"35,000 kms",1998,Manual,23.8 kmpl,5,White,112,Disc,Drum,-,1561,1789,4097,1780,-,180 Kmph,https://www.cardekho.com/used-cars+in+mumbai,14.25 Lakh
8352,2013 Honda City,Petrol,"58,555 kms",1497,Automatic,16.8 kmpl,5,White,118,Disc,Drum,-,1480,1695,4420,-,-,-,https://www.cardekho.com/used-cars+in+mumbai,4.65 Lakh
8353,2013 Mercedes-Benz S-Class,Petrol,"57,000 kms",2987,Manual,13.0 kmpl,5,White,210,Ventilated Disc,Ventilated Disc,-,"1,473","1,871","5,206","2,510",-,250 kmph,https://www.cardekho.com/used-cars+in+mumbai,21 Lakh
8354,2012 Renault Duster,Diesel,"95,320 kms",1461,Manual,19.01 kmpl,5,Red,108.45,Ventilated Disc,Drum,-,1695,1822,4315,1781,-,-,https://www.cardekho.com/used-cars+in+mumbai,4.65 Lakh
8355,2015 Skoda Rapid,Diesel,"67,000 kms",1498,Automatic,21.14 kmpl,5,White,103.52,Disc,Drum,-,1466,1699,4386,1760,-,183 Kmph,https://www.cardekho.com/used-cars+in+mumbai,5.5 Lakh
8356,2010 Toyota Innova,Diesel,"1,15,005 kms",2494,Automatic,12.99 kmpl,8,Golden,100,Ventilated Disc,Leading-Trailing Drum,-,1760,1760,4585,2300,-,-,https://www.cardekho.com/used-cars+in+mumbai,5.85 Lakh
8357,2016 Maruti Swift,Diesel,"41,000 kms",1248,Manual,28.4 kmpl,5,White,74,Disc,Drum,-,1530,1735,3840,1405Kg,-,-,https://www.cardekho.com/used-cars+in+mumbai,5.75 Lakh
8358,2013 Renault Duster,Diesel,"35,000 kms",1461,Manual,19.01 kmpl,5,Brown,108.45,Ventilated Disc,Drum,-,1695,1822,4315,1781,-,-,https://www.cardekho.com/used-cars+in+mumbai,5.95 Lakh
