,Car_Name,Car_details,Endine_disp,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,cargo_volume,height,width,length,Gross_Weight,top_speed,Ownership,Year_of_Manufacture,Steering_Type,Car_price
1093,2018 Honda Amaze V Diesel,"51,325 kms • Diesel • Manual",1498 ,24.7,5,MODERN STEEL METALLIC,98.63,Disc,Drum,420,1501,1695,3995,-,-,First Owner,2018,Electric,₹ 7.15 Lakh
1094,2020 Tata Harrier XZ Plus,"30,000 kms • Diesel • Manual",1956 ,16.35,5,Red,167.67,Disc,Disc,425,1706,1894,4598,-,-,First Owner,2020,Power,₹ 20.90 Lakh
1095,2018 Maruti Swift Dzire VXI 1.2,"39,000 kms • Petrol • Manual",1197 ,21.21,5,Red,81.80,Disc,Drum,378,1515,1735,3995,1315Kg,-,First Owner,2018,Power,₹ 6.60 Lakh
1096,2009 BMW X5 xDrive 30d,"62,000 kms • Diesel • Automatic",2993 ,11.7,5,Black,245,Ventilated Discs,Ventilated Discs,-,1762,2184,4886,2780,222km/hr,Second Owner,2009,Power,₹ 16 Lakh
1097,2021 Honda Amaze VX Diesel,"1,500 kms • Diesel • Manual",1498 ,24.7,5,Golden Brown,98.63,Disc,Drum,420,1501,1695,3995,-,-,First Owner,2021,Electric,₹ 8.65 Lakh
1098,2011 BMW 5 Series 520d Sedan,"70,000 kms • Diesel • Automatic",1995 ,18.48,5,Golden,177,Ventilated discs,Ventilated discs,520 litres,1468,1846,4841,2160,226km/hr,Second Owner,2011,Power,₹ 14.25 Lakh
1099,2014 Tata Zest Revotron 1.2T XMS,"79,000 kms • Petrol • Manual",1193 ,17.57,5,White,88.7,Disc,Drum,390,1570,1706,3995,-,154 Kmph,Second Owner,2014,Power,₹ 3.99 Lakh
1100,2020 Tata Altroz XZ,"23,751 kms • Petrol • Manual",1199 ,19.33,5,Red,86.83,Disc,Drum,345,1523,1755,3990,-,-,First Owner,2020,Electric,₹ 8.95 Lakh
1101,2016 Renault Duster 110PS Diesel RxZ AMT,"65,060 kms • Diesel • Automatic",1461 ,19.6,5,Brown,108.45,Disc,Drum,475-litres,1695,1822,4315,1813,168 Kmph,First Owner,2016,Power,₹ 9.16 Lakh
1102,2010 Honda City V MT,"1,41,081 kms • Petrol • Manual",1497 ,16.8,5,Black,116.3,Disc,Drum,506-litres,1485,1695,4440,-,-,Second Owner,2010,Power,₹ 3.48 Lakh
1103,2014 Honda Brio VX,"49,033 kms • Petrol • Manual",1198 ,19.4,5,Blue,86.8,Disc,Drum,175-litres,1500,1680,3610,-,164 Kmph,Second Owner,2014,Power,₹ 4.04 Lakh
1104,2018 Renault Duster Petrol RXS CVT,"40,007 kms • Petrol • Automatic",1498 ,14.99,5,White,104.5,Disc,Drum,475-litres,1695,1822,4315,1770,160 Kmph,Second Owner,2018,Power,₹ 9.39 Lakh
